date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:38	175902/175902	---MCZ	200	added ('OK')	text/javascript	etag:W/%222af1e-+5OpDRwC1x4aCv4JrvWtVBVbA8Q%22	http://platform-api.sharethis.com/js/sharethis.js	C:/Users/A.Luna/Music/US/platform-api.sharethis.com/js/sharethis.js	(from http://classicrockuniversal.com/)
16:17:40	6297/6297	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Mar%202019%2019:50:39%20GMT	http://classicrockuniversal.com/wp-content/themes/radio/images/logo.png	C:/Users/A.Luna/Music/US/classicrockuniversal.com/wp-content/themes/radio/images/logo.png	(from http://classicrockuniversal.com/)
16:17:43	83045/83045	---MC-	200	added ('OK')	application/json	date:Thu,%2029%20Jul%202021%2014:17:32%20GMT	http://classicrockuniversal.com/wp-json/	C:/Users/A.Luna/Music/US/classicrockuniversal.com/wp-json/index.html	(from http://classicrockuniversal.com/)
16:17:53	82335/82335	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Oct%202020%2023:10:24%20GMT	http://classicrockuniversal.com/wp-content/uploads/2020/10/alexa_cru.jpg	C:/Users/A.Luna/Music/US/classicrockuniversal.com/wp-content/uploads/2020/10/alexa_cru.jpg	(from http://classicrockuniversal.com/)
16:17:56	16888/16888	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Mar%202019%2019:36:13%20GMT	http://classicrockuniversal.com/wp-content/themes/radio/images/transmision_envivo.png	C:/Users/A.Luna/Music/US/classicrockuniversal.com/wp-content/themes/radio/images/transmision_envivo.png	(from http://classicrockuniversal.com/)
16:17:57	490503/490503	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f07220dd0a2847ea1a5ec72eb8da8a1e%22	http://widgets.listenlive.co/1.0/tdwidgets.min.js	C:/Users/A.Luna/Music/US/widgets.listenlive.co/1.0/tdwidgets.min.js	(from http://classicrockuniversal.com/)
16:18:01	34653/34653	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:03:57%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.0/js/bootstrap.min.js	C:/Users/A.Luna/Music/US/maxcdn.bootstrapcdn.com/bootstrap/3.3.0/js/bootstrap.min.js	(from http://classicrockuniversal.com/)
16:18:01	1391/1391	---M--	200	added ('OK')	application/javascript	date:Thu,%2015%20Apr%202021%2021:41:41%20GMT	http://classicrockuniversal.com/wp-includes/js/wp-embed.min.js?ver=5.0.13	C:/Users/A.Luna/Music/US/classicrockuniversal.com/wp-includes/js/wp-embed.min23c3.js	(from http://classicrockuniversal.com/)
16:18:02	190587/190587	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Mar%202019%2023:39:57%20GMT	http://classicrockuniversal.com/wp-content/themes/radio/images/bg.jpg	C:/Users/A.Luna/Music/US/classicrockuniversal.com/wp-content/themes/radio/images/bg.jpg	(from http://classicrockuniversal.com/)
16:18:03	2071/2071	---MCZ	200	added ('OK')	application/javascript	etag:W/%222f626cd80ab643bcb43762921813932b%22	https://b3.tunegenie.com/js/loader2.min.js	C:/Users/A.Luna/Music/US/b3.tunegenie.com/js/loader2.min.js	(from http://classicrockuniversal.com/)
16:18:04	17286/17286	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2014:18:06%20GMT	http://classicrockuniversal.com/tg-sw.js	C:/Users/A.Luna/Music/US/classicrockuniversal.com/tg-sw.13.delayed	(from http://classicrockuniversal.com/)
16:18:04	17286/17286	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2014:18:07%20GMT	http://classicrockuniversal.com/tg2-sw.js	C:/Users/A.Luna/Music/US/classicrockuniversal.com/tg2-sw.js	(from http://classicrockuniversal.com/)
16:18:05	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%226e4d711ba015dbe5741727306b366ee6%22	http://connect.facebook.net/es_LA/sdk.js	C:/Users/A.Luna/Music/US/connect.facebook.net/es_LA/sdk.js	(from http://classicrockuniversal.com/)
16:18:08	178544/178544	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Jun%202020%2020:00:02%20GMT	http://classicrockuniversal.com/wp-content/uploads/2019/03/cru2020_620x337.jpg	C:/Users/A.Luna/Music/US/classicrockuniversal.com/wp-content/uploads/2019/03/cru2020_620x337.jpg	(from http://classicrockuniversal.com/)
16:18:09	17286/17286	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2014:18:12%20GMT	http://classicrockuniversal.com/wp-content/themes/radio/AjaxLoader.gif	C:/Users/A.Luna/Music/US/classicrockuniversal.com/wp-content/themes/radio/AjaxLoader.17.delayed	(from http://classicrockuniversal.com/wp-content/themes/radio/style.css)
16:18:10	17286/17286	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jul%202021%2014:18:12%20GMT	http://classicrockuniversal.com/wp-content/themes/radio/grabbing.png	C:/Users/A.Luna/Music/US/classicrockuniversal.com/wp-content/themes/radio/grabbing.png	(from http://classicrockuniversal.com/wp-content/themes/radio/style.css)
16:18:12	49389/49389	---MC-	200	added ('OK')	text/javascript	date:Tue,%2013%20Jul%202021%2018:24:06%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/A.Luna/Music/US/www.google-analytics.com/analytics.js	(from http://classicrockuniversal.com/)
16:18:12	95786/95786	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	C:/Users/A.Luna/Music/US/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from http://classicrockuniversal.com/)
16:18:12	52797/52797	---M--	200	added ('OK')	application/javascript	date:Mon,%2025%20Mar%202019%2019:36:12%20GMT	http://classicrockuniversal.com/wp-content/themes/radio/owl/owl.carousel.js	C:/Users/A.Luna/Music/US/classicrockuniversal.com/wp-content/themes/radio/owl/owl.carousel.js	(from http://classicrockuniversal.com/)
